Getaria;Blanco;43.28118;GIPUZKOA;Obras;Euskadi;2007-11-29 20:13:19;41;CANTABRIA;Obras;SS;A-8;41;-2.191887;134
Pasaia;Blanco;43.30757;GIPUZKOA;Obras;Euskadi;2007-11-29 22:23:06;12;CANTABRIA;Obras;SS;A-8;12;-1.884196;25
Pasaia;Blanco;43.308;GIPUZKOA;Obras;Euskadi;2007-11-29 21:33:30;14;IRUN;Obras;SS;A-8;14;-1.90561;133
Pasaia;Blanco;43.308;GIPUZKOA;Obras;Euskadi;2007-11-29 21:33:30;14;IRUN;Obras;SS;A-8;14;-1.90561;133
Donostia-San Sebastián;Blanco;43.29825;GIPUZKOA;Obras;Euskadi;2007-11-29 21:01:32;22;CANTABRIA;Obras;SS;A-8;22;-1.97683;40
;Blanco;43.28118;GIPUZKOA;Obras;Euskadi;2007-11-29 20:13:19;41;CANTABRIA;Obras;SS;A-8;41;-2.191887;134
Lasarte-Oria;Negro;43.25952;GIPUZKOA;Obras;Euskadi;2007-11-29 12:37:15;452;IRÚN;Obras;SS;N-1;452;-2.01939;77
Lasarte-Oria;Negro;43.25952;GIPUZKOA;Obras;Euskadi;2007-11-29 12:37:15;452;IRÚN;Obras;SS;N-1;452;-2.01939;77
Getaria;Blanco;43.28118;GIPUZKOA;Obras;Euskadi;2007-11-28 20:16:24;41;CANTABRIA;Obras;SS;A-8;41;-2.191887;134
Donostia-San Sebastián;Blanco;43.29825;GIPUZKOA;Obras;Euskadi;2007-11-28 21:08:48;22;CANTABRIA;Obras;SS;A-8;22;-1.97683;40
Oiartzun;Blanco;43.31923;GIPUZKOA;Obras;Euskadi;2007-11-28 22:58:55;7;CANTABRIA;Obras;SS;A-8;7;-1.831511;9
Errenteria;Blanco;43.30881;GIPUZKOA;Obras;Euskadi;2007-11-28 22:50:07;15;CANTABRIA;Obras;SS;A-8;15;-1.91776;118
Pasaia;Blanco;43.31109;GIPUZKOA;Obras;Euskadi;2007-11-28 21:55:28;17;CANTABRIA;Obras;SS;A-8;17;-1.93938;18
Pasaia;Blanco;43.31109;GIPUZKOA;Obras;Euskadi;2007-11-28 21:55:28;17;CANTABRIA;Obras;SS;A-8;17;-1.93938;18
;Blanco;43.29825;GIPUZKOA;Obras;Euskadi;2007-11-28 21:08:48;22;CANTABRIA;Obras;SS;A-8;22;-1.97683;40
Zarautz;Blanco;43.28118;GIPUZKOA;Obras;Euskadi;2007-11-28 20:16:24;41;CANTABRIA;Obras;SS;A-8;41;-2.191887;134
Idiazabal;Blanco;42.98433;GIPUZKOA;Obras;Euskadi;2007-11-28 16:59:37;411;IRÚN;Obras;SS;N-1;411;-2.238316;112
Zumaia;Blanco;43.28137;GIPUZKOA;Obras;Euskadi;2007-11-28 11:06:43;42;CANTABRIA;Obras;SS;A-8;42;-2.20357;24
Zumaia;Blanco;43.27045;GIPUZKOA;Obras;Euskadi;2007-11-28 11:09:48;48;CANTABRIA;Obras;SS;A-8;48;-2.26732;93
Zumaia;Blanco;43.27773;GIPUZKOA;Obras;Euskadi;2007-11-28 11:08:03;46;CANTABRIA;Obras;SS;A-8;46;-2.24759;43
Zumaia;Blanco;43.28137;GIPUZKOA;Obras;Euskadi;2007-11-28 11:06:43;42;CANTABRIA;Obras;SS;A-8;42;-2.20357;24
Usurbil;Blanco;43.29291;GIPUZKOA;Obras;Euskadi;2007-11-28 11:05:16;25;CANTABRIA;Obras;SS;A-8;25;-2.016993;42
Usurbil;Blanco;43.28809;GIPUZKOA;Obras;Euskadi;2007-11-28 11:04:02;27;IRUN;Obras;SS;A-8;27;-2.03578;60
Deba;Blanco;43.2636;GIPUZKOA;Obras;Euskadi;2007-11-28 06:56:09;49;IRUN;Obras;SS;A-8;49;-2.27567;103
Usurbil;Blanco;43.28664;GIPUZKOA;Obras;Euskadi;2007-11-28 01:14:37;32;CANTABRIA;Obras;SS;A-8;32;-2.0888;111
;Blanco;43.28664;GIPUZKOA;Obras;Euskadi;2007-11-28 01:14:37;32;CANTABRIA;Obras;SS;A-8;32;-2.0888;111
Usurbil;Blanco;43.28653;GIPUZKOA;Obras;Euskadi;2007-11-27 23:59:21;32;IRUN;Obras;SS;A-8;32;-2.08884;111
Usurbil;Blanco;43.29304;GIPUZKOA;Obras;Euskadi;2007-11-27 23:31:40;28;IRUN;Obras;SS;A-8;28;-2.04414;71
Getaria;Blanco;43.28118;GIPUZKOA;Obras;Euskadi;2007-11-27 20:37:34;41;CANTABRIA;Obras;SS;A-8;41;-2.191887;134
